URL,Product Name,Price (in ₹),Prodcut ratings,Number of reviews
www.amazon.in/Red-Lemon-Convertible-Water-resistant-Compartments/dp/B09WYT2G88,"Red Lemon Arctic Hunter 3 in 1 Adjustable 40L Laptop Backpack Fits up to 17 inches Laptops Multifunctional, Business, Water Resistant, Travel, Unisex Laptop Backpack with USB charging Port","1,194",4.3 out of 5 stars,2
www.amazon.in/BUCKETLIST%C2%AE-Backpack-Charging-Waterproof-Briefcase/dp/B0B2DXRG4D,BucketList® Anti Theft Backpack with USB Charging Port 17.5 Inch Laptop Bagpack Waterproof Casual Unisex Bag for School College Office Travel Casual Hiking Fashion Briefcase for Men Women (Black),"4,492",4.4 out of 5 stars,2
www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips","3,896",4.1 out of 5 stars,"2,372"
www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),"4,424",4.3 out of 5 stars,498
www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y,"TRUE HUMAN Emperor Anti-Theft backpack With USB charging Port Laptop Bag, Office bag, college bag and anti -theft back pocket (Black)","3,796",4 Stars & Up,1
www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,"1,559",3 Stars & Up,1
www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,"1,239",2 Stars & Up,178
www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)","1,331",1 Star & Up,84
www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue, L (QUILL19CBBLU)","1,248",3.7 out of 5 stars,4
www.amazon.in/POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9,"POLESTAR Vintage 15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty","8,425",1.0 out of 5 stars,5
www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ,ADISA Light Weight Laptop Backpack 32 Ltrs,"2,400",1.0 out of 5 stars,36
www.amazon.in/Fur-Jaden-Black-Waterproof-Backpack/dp/B078GLXMDY,FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,796,4.2 out of 5 stars,"8,602"
www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC,ADISA Laptop Backpack 31 Ltrs,936,3.8 out of 5 stars,5
www.amazon.in/Gear-Workspace-Briefcase-Black-Red-BKPWRPHYD0101/dp/B097KGL2M5,Gear Workspace 18L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women-Black,"1,856",5.0 out of 5 stars,220
www.amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",749,4.3 out of 5 stars,5
www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black,"1,856",4.0 out of 5 stars,19
